---,,,,,,,,,,
Beet Salad ,Beets,Olive Oil,Salt & Pepper,Balsamic Vinegar,Dijon Mustard,Walnuts,Feta Cheese,,,
Zucchini,Zucchini,Olive Oil,Vegetable Spice,,,,,,,
Green Beans,Green Beans,Olive Oil,Red Bell Pepper,Salt & Pepper,Red Onions,Feta Cheese,,,,
Paprika Potatoes,Small Potatoes,Olive Oil,Smoked Paprika,Salt & Pepper,Onion Powder,Garlic Powder,White Pepper,,,
Asparagus,Asparagus,Olive Oil,Vegetable Spice,,,,,,,
Greek Salad,Bell Peppers,Tomatoes,Cucumbers,Green Onions,Feta Cheese,Red Wine Vinegar,Parsley,Salt & Pepper,Garlic Powder,Oregano
Cauliflower,Cauliflower,Olive Oil,White Pepper,Smoked Paprika,Pepper,Parmesan Cheese,,,,
Perogies,Frozen Perogies,,,,,,,,,
Garden Salad,Lettuce,Cucumbers,Bell Peppers,Carrots,Feta Cheese,Salad Dressing,Tomatoes,,,
Steamed Veggies,Frozen Veggies,,,,,,,,,
Turnips,Turnips,Apples,Brown Sugar,Butter,Bread Crumbs,,,,,
Sweet Potato Balls,Sweet Potato,Bacon,Eggs,Coconut Oil,Almond Flour,Italian Seasoning,Cayenne Pepper,Salt & Pepper,,
Fries,Frozen Fries,,,,,,,,,
Roasted Veggies,Parsnip,Sweet Potato,Beets,Carrots,Small Potatoes,Red Onions,,,,
